project,rank1,rank2,rank3,rank4,rank5,rank6
Automated Assumption Refinement for Autonomous Systems (two projects),0,0,1,0,0,0
Automated Software Specification Repair using Large Language Models,0,1,0,0,0,2
Reactive synthesis in collaborative environments,0,0,0,0,0,1
Repairing Specifications with Unavoidable Boundary Conditions,0,0,0,0,0,0
Symbolic Learning Approach to Requirements Classification,0,0,0,0,0,0
Gaussian Belief Propagation for Distributed Optimization,0,0,1,2,1,0
Data driven formative feedback on Lambda Feedback,0,3,0,0,0,0
Develop an elective selection platform for the Business School,0,1,2,1,0,2
Anomaly Detection and Regulatory Compliance in Gas Networks,0,0,0,1,1,0
Counterexamples as Explanations,0,0,0,0,1,0
Evaluating LLM Role-Playing Consistency Through Formal Verification in Improvisational Settings,0,0,0,1,0,0
Finite Automata for the Verification of Strategic Abilities of Autonomous Agents,0,0,0,0,0,0
Leveraging Dynamics Models for Single-shot Task Generalization in Reinforcement Learning,0,1,1,0,0,0
Neuro-Symbolic Policy Learning and Representation for Interpretable and Formally-Verifiable Reinforcement Learning,0,0,0,1,0,0
Policy and Value Function Compositionality for Safe Reinforcement Learning,0,0,0,0,0,0
Reasoning about Stochastic Games of Imperfect Information,0,0,2,0,0,0
Reinforcement Learning for Infinite-horizon Counter Objectives,0,0,0,0,0,1
The Trade-off between Exploration and Exploitation in Multi-agent Reinforcement Learning,0,0,0,0,2,1
The Verification of Multi-agent Hybrid Systems,0,0,0,0,0,1
6D Pose Graph Optimization via Topological Deep Learning,0,0,0,0,1,0
Deep Learning on Topological Domains,0,0,0,0,0,0
Generative Flow Matching Models for Human Pose Modeling,0,0,0,0,0,0
"Large Language Models, Hashing and Error Correction (jointly with AWS)",0,0,0,0,0,1
Mixture of Experts Design for Large Language Modeling,0,0,0,0,0,0
UV-free high-resolution surface texture generation,0,0,0,0,0,0
Computing the noise threshold of quantum error correcting codes,0,1,0,1,0,1
Neural belief propagation for quantum error correction,0,1,1,0,0,0
Quantum belief propagation for random quantum maxcut,0,0,0,1,1,0
Scaling laws in learning properties of quantum systems at thermal equilibrium,0,0,1,1,0,0
Algorithms for the LINE scientific library (Java),0,1,2,4,5,1
AI Assistant for Software Development Teams,0,2,1,3,4,3
Double-Blind Code Review,0,1,1,1,2,0
Instant Walking Skeleton,0,1,1,1,2,1
Kotlin Playground ++,0,4,0,1,3,0
LambdaFeedback - providing feedback on student code exercises,0,0,2,1,0,0
Collaborative early exit inference at the edge,0,1,0,0,0,0
Better than ELO ranking for MOBA games (e.g. LoL),0,2,0,1,2,0
Challenging the AGI Hype: A New Benchmark for LLMs,0,2,3,1,0,0
Tracking the Buzz: Honey Bee Computer Vision Tracking,0,0,0,1,0,2
Algorithmic Complexity of Machine Learning Models,0,0,1,0,0,0
Nearest Neighbour Search through Diffusion Models,0,0,0,1,1,1
Improving Biological Foundation Models using Curriculum Learning through Quality-Diversity Reinforcement Learning (Industrial collaboration Helical),0,0,0,0,0,0
Unsupervised Quality-Diversity Reinforcement Learning,0,0,0,0,0,0
Are ML models leaking information about their training data?,0,0,1,0,0,0
Quantifying Privacy Risks in Parameter-Efficient Fine-Tuning (PEFT) of Large Language Models (LLMs),0,0,0,0,0,0
Understanding and analysing concurrency bugs in machine learning compilers,0,1,1,0,1,0
Verifying futex implementations using model checking,0,0,2,0,1,1
More Declarative Proving with Dafny,0,0,0,0,0,0
Reasoning about Verona Concurrency,0,0,1,0,1,0
What does GitHub do,0,0,2,1,0,0
Customizable 3D Avatar Generation Platform,0,1,0,0,0,0
Enhancing 3D Face Reconstruction with StyleGANv3-Based Texture Decoding,0,1,1,0,0,1
Now Say It Differently: Perturbation-Testing of LLM Robustness,0,2,1,0,1,0
Reasoning about Humour: It's No Laughing Matter,0,0,1,0,1,1
Unsupervised Humour Style Transfer: Advancing Computational Understanding of Humour Styles,0,2,0,1,1,0
Leveraging Vision-Language Models to contextualise natural human gaze and intentions for robotic human augmentation,0,0,0,0,2,0
Off-Policy Policy Estimation for Robot control from Human behavioural data,0,0,1,0,0,0
Abstraction in Incorrectness Logics,0,0,0,1,0,0
Compositional Reasoning about Concurrent Programs,0,0,0,0,0,1
Gillian Certification,0,0,0,0,0,0
Gillian Verification,0,0,0,0,0,0
Matching for Compositional Symbolic Execution,0,0,0,0,0,0
Mechanised Semantics of the W3C WebAssembly Standard,0,0,0,0,0,0
Rethinking Digital Network Hubs by Learning from Mycelium,0,1,2,0,1,2
Counterfactual data augmentation for robustness to artefacts in digital mammography,0,3,1,0,0,1
Machine Learning for Ocean Conservation: Active Learning for Marine Species Detection,0,2,3,1,3,0
"Semi-Supervised Atlas-ISTN: Joint Image Segmentation, Registration, and Atlas-Construction",0,2,0,0,1,0
Assessing privacy and security vulnerabilities in Meta Glass,0,0,0,1,1,0
Guaranteed Realm Destruction in Arm CCA,0,0,0,0,0,0
Intelligent Neural Networks for Internet of Things Privacy Applications,0,0,0,0,0,0
Optimizing Realm Execution Environments for Machine Learning Tasks,0,0,0,0,0,0
Towards Scalable and Secure Auditing: Zero-Knowledge Proofs in Deep Learning Models,0,0,0,0,0,0
Verifiable Machine Unlearning,0,0,0,0,0,0
DNA/XNA Storage & Computing,0,3,2,2,1,3
Protein Computing,0,0,0,1,1,1
Consistent and Justifiable LLM Outputs via Computational Argumentation,0,0,2,0,0,0
Explainable AI for LLM on Textual Data: Leveraging Mechanistic Interpretability Techniques for Generating Counterfactual Explanations with Validity Guarantees,0,0,0,0,0,1
ChatGPT for Robotics,0,4,3,1,4,0
Robot Policy Learning with Active Vision,0,3,1,1,1,0
Deep Learning–Based Segmentation and Quantification in Kidney Transplant Pathology,0,0,0,1,0,0
Attention for branch prediction by training on profiling-time traces,0,0,1,0,0,0
Data prefetching based on per-page access history,0,1,0,1,0,1
Improving the reliability of LLVM analysis for compiler-to-CPU memory dependency communication,0,1,1,0,1,0
LLVM analysis for compiler-to-CPU memory dependency communication,0,0,1,1,0,0
Loop Cloning Co-Design for Memory Dependence Prediction,0,2,1,0,0,0
"Non-speculative inspector-executor parallelisation for multicore, SMT and clustered microarchitectures",0,2,0,0,0,0
Optimal sampling of benchmark traces in microarchitecture simulation experiments,0,1,1,0,0,0
Processor architecture for on-sensor vision,0,1,1,0,1,0
A Novel Blockchain Games Ecosystem (Centre for Cryptocurrency Research and Engineering),0,0,1,0,0,0
AI-driven Deception: Using Large Language Models for Scalable Fraud,0,2,3,3,3,1
Automated Mapping and Visualisation of UK Financial Services Research Network (UKFin+),0,0,1,0,0,0
Dragon's LLM: Streamlining Innovation with AI (Propel Teams),0,1,1,2,0,0
"FairOnChain: Fair and modular blockchain data infrastructure for open science (The Centre for Cryptocurrency Research and Engineering, EPFL, Ecole Polytechnique)",0,0,0,0,1,0
FALCON-based Quantum-safe Blockchain Implementation (Centre for Cryptocurrency Research and Engineering),0,0,0,0,0,1
"Incoercible sales of physical goods with cryptocurrencies (Centre for Cryptocurrency Research and Engineering, Orfeas Thyfronitis Litos)",0,0,1,0,1,1
Privacy-preserving Information Sharing of Confidential Information (Centre for Cryptocurrency Research and Engineering),0,0,0,1,2,0
VeriRef: Using AI to Detect Misinformation (DeepSearchLabs),0,2,2,1,3,4
Adaptive Sensor Modality Weighting in Visual-Inertial Odometry for Robot Localization in Dynamic Environments,0,0,1,2,1,0
Forward-Forward Algorithm for Continual Learning as Applied to Aerial Robot Control,0,1,0,1,0,0
Go with the Flow: A Never-ending Learning Approach for Aerial Robots,0,0,0,0,0,0
Surface Learning with Multi Sensors for Aerial Robots,0,1,1,0,0,1
Vision-Based Trajectory Prediction for Autonomous Robots: Extending Sparse Model Identification,0,2,0,1,0,0
Where to Perch the Drone in Tropical Forest?,0,1,0,1,0,1
Accelerating Congestion Control Algorithms Using Emerging Hardware,0,0,0,1,0,0
Accelerating L7 load balancing with in-network compute,0,2,1,2,0,0
Accelerating Transaction Processing for Central Bank Digital Currencies,0,1,2,1,1,1
Analyzing Blockchains for Fun and Profit,0,0,0,0,2,1
Attested Execution of Cloud Workloads,0,0,0,0,0,0
Load-Aware L4 Load Balancing for Microservices and Cloud Native Systems,0,0,1,0,0,1
Low-latency Checkpointing for Deterministically Parallel Applications,0,1,1,1,0,1
microBPF: Using eBPF for microcontroller compartmentalization,0,0,0,0,0,0
Operating System Design for Trusted Execution Environments,0,0,0,0,0,0
Rendering Network Namespaces Obsolete Using eBPF,0,0,1,0,0,0
Secure Code Evaluation in Serverless Functions,0,1,0,0,0,0
Understanding and Taming Control Plane Latencies in Microservice Environments,0,1,0,0,0,0
Object Centric Visual Debates,0,0,1,1,0,0
A Simulated Radio Station,0,0,1,2,1,2
Cracking Candy Crush,0,1,1,1,1,0
Detecting AI Generated Music,0,1,1,3,0,1
Research Fraud Network Detection,0,0,0,0,1,1
Selling T-Shirts,0,1,0,1,0,0
GPU-enabled Neural Network Verification based on Semidefinite Programming Techniques,0,0,0,0,0,0
Neural Network Verification for Time Series Forecasting.,0,1,0,0,2,0
Towards ensuring fairness in certified training,0,0,0,0,0,0
Verification of liquid neural networks,0,0,1,1,0,0
Verification of Neural Networks against specifications in the latent space.,0,0,0,0,0,0
Verification of transformer-based neural networks,0,1,0,0,1,0
Accelerate Interpretable Deep Neural Networks for Medical Imaging,0,3,1,1,1,0
Accelerating Real-time Adaptive Radiotherapy on the UK’s First MR-Linac,0,4,2,0,0,1
Agent-Based Modelling for Fire Sales,0,3,3,0,1,1
Causal Structure Learning for Market Crash Analysis,0,7,5,2,1,1
Codifying Optimisation Strategies by Meta-Programming for Machine Learning and Other Applications,0,3,0,1,0,0
Enabling Efficient LLM Inference,0,0,1,0,0,1
Fine-Tuning LLMs for Exchange Rate Risk Hedging through Financial News Analysis,0,3,1,0,0,2
Machine Learning for Next-Generation Physics Experiments,0,0,2,0,1,0
Maximising heterogeneous resource utilisation of FPGAs,0,1,1,2,1,0
A novel design methodology for Security and Safety with model-based systems engineering,0,0,0,0,0,0
Characterising the attack surface of machine learning models,0,0,0,0,0,0
Differential approaches for efficient attack-graph generation,0,1,0,0,0,0
Dynamic Network Segmentation for Cyber-Defence,0,0,0,0,0,0
Generative methods for Adversarially Testing Machine Learning Models,0,0,0,0,1,0
Integrating LLMs with attack emulation for automated red-teaming,0,0,0,0,0,0
Learning and Modelling Legacy Protocols,0,0,1,0,0,0
Learning Causality in Cyber Physical Systems,0,0,0,0,0,0
Other Projects in CyberSecurity,0,0,0,0,0,0
Producing Automated Assurance Case Fragments from combined Security and Safety Analysis,0,0,0,0,0,0
SysML 2.0 tools for security and safety modelling,0,0,0,0,0,0
The Vulnerability and Defence of Embedded Machine Learning,0,1,0,0,0,2
Detecting vulnerabilities in source code using LLMs,0,1,0,1,1,2
Randomness in Deep Learning for Security,0,0,0,0,0,0
Unsupervised anomaly detection for Web access logs,0,1,1,1,0,0
Data Visualisation based on Conceptual Modelling,0,0,0,2,0,1
Map It: Tools to support the easy visualisation of data as maps,0,0,0,2,2,0
Op-Art Generator and Animator,0,0,2,0,0,0
Relational Algebra and SQL Query Visualisation,0,2,4,1,0,0
Semanitic Web Schema and Data Visualiser,0,0,0,0,0,0
What makes London traffic change?,0,1,0,3,0,1
An optimisation perspective on multivariate information theory for neural computation,0,0,0,0,0,0
Building and interpreting models for electronic health records during cannabis therapy,0,2,2,2,0,0
Explaining brain organisation through spatially embedded deep neural networks,0,3,1,1,0,0
Leveraging ML to innovate optimization frameworks for brain simulations,0,0,2,1,1,0
Dynamic multiagent decision-making via extensive-form polymatrix games,0,1,1,1,0,0
Fast variational inequality solvers for multiagent decision making,0,0,1,1,0,0
Multiagent decision-making: fast equilibrium computation via polymatrix games,0,2,2,0,0,0
Propose your own project,0,0,0,0,0,0
Safe guaranteed AI for control,0,1,0,1,0,1
A New Scalable Runtime for LLM Training and Inference,0,0,0,0,2,0
C to Rust Compiler Using Large Language Models (LLM),0,0,1,2,1,0
Designing a Portable OS with Native WebAssembly Binaries,0,1,1,4,1,0
Embedded Intravisor using Hardware Memory Capabilities,0,0,0,0,0,0
Implementing Modern DL Algorithms in a Novel Training System,0,0,0,0,1,0
"Projects in Large-Scale Distributed Systems, Operating Systems and Databases",0,0,1,0,0,0
Supercomputing for the Masses with Serverless WebAssembly and OpenMP,0,1,1,2,0,0
Transparent Migration of Serverless Functions in Cloud,0,3,0,1,0,0
Apply DBMS Analytics Techniques to Large-Scale Crowd/Physics Simulation in Unreal Engine,0,0,0,0,0,0
Black-Box Query Optimization: Query Plan Exploration,0,1,2,0,0,0
Exploring Bottlenecks and Optimisations for Large Language Models and Vector Databases in RA-LLMs,0,1,0,2,1,1
GNNs for Black-Box Database Query Cost Estimation,0,0,0,0,0,1
Wisent++: A C++ Library for Composability-Enabled Data File Formats,0,0,0,3,1,0
Analyzing the computational role of complex representations in RNNs,0,1,3,0,0,0
Evaluative AI via Argumentation for Interactive Explanation,0,2,0,0,0,0
Explainable Reinforcement Learning for Formula One Race Strategy,0,0,3,0,0,0
Argumentative Claim-Based Explanations,0,0,0,1,0,0
Graph Neural Networks for Approximate Argumentative Reasoning and Causal Discovery,0,1,1,1,0,0
own proposalImplementing Unsaturated Types In Haskell,0,0,0,0,0,0
Conversational Robots for People with Dementia,0,2,0,3,2,1
Inverse reinforcement learning for Vehicle-to-Grid (V2G) charging modelling,0,0,1,1,0,0
Analysing relationships and disagreements between explanation methods for deep neural models,0,0,0,0,0,1
Arguing with Neural Networks based on Explanations,0,0,2,0,0,0
Enhancing Brain Tumour Prognosis with Neuro-Argumentative Learning and Multi-Modal Patient Data from a Real-World Wearable Clinical Trial,0,2,3,0,4,1
Neuro-Argumentative Machine Learning with Legal Text,0,1,1,2,1,0
Piecewise linear softmax approximations for tighter machine learning certification,0,0,0,0,0,1
Call by Value and Call by Name for Classical Calculi with Implication and Negation,0,0,0,1,0,0
Call by Value for Lambda Mu with Negation,0,0,0,0,0,1
Predicates for Featherweight Java,0,0,0,0,0,0
Types for Featherweight Java with control,0,0,0,1,0,1
A cloud FPGA runtime for practical multi-tenant security,0,0,0,0,1,0
A cloud service framework with hardware-software co-design to improve application performance and security,0,0,0,0,0,0
A distributed application runtime for the future data center,0,1,1,0,1,0
A distributed caching layer for the future data center,0,1,0,0,0,0
A distributed file system service for the future data center,0,0,0,0,0,0
A new container image mechanism to optimize performance and memory density of cloud VMs,0,0,0,0,0,0
A new formal method to verify security in multi-tenant cloud FPGAs,0,0,0,1,0,0
A new framework to make application services secure-by-construction in the future cloud,0,0,0,0,0,0
A new hardware extension for implementing OS privilege levels with optimal performance,0,1,0,0,0,0
A new hardware/software co-design to accelerate memory capability revocation in the CHERI architecture,0,0,0,0,0,0
A new set of distributed system call optimizations for the operating system of future data centers,0,0,0,0,1,0
A new simulation approach for measuring application performance and interference in the cloud,0,0,0,0,0,0
A new tool for universal dynamic program modification and analysis,0,0,0,0,0,0
A practical method to formally analyse the security properties of cloud FPGAs,0,0,0,0,0,0
A remote block storage service for the future data center,0,0,0,0,0,0
A scalable protocol for distributed authorization in the future data center,0,0,0,0,0,0
A service to access remote GPUs in future disaggregated data centers,0,0,0,0,0,0
A universal load-balancing service for the future data center,0,0,0,0,1,0
A user-level network stack for zero-copy communication in cloud micro-services,0,0,0,0,0,0
Accelerating LLM inference in the future data center,0,1,1,0,0,0
Adding self-optimizing concurrency to a Rust-based application runtime,0,0,0,1,0,0
Adding self-optimizing concurrency to a secure operating system for the future data center,0,1,1,0,0,0
An automated tool to help optimize cache coherency performance,0,0,0,1,0,1
Analysing the limits of compute performance via instruction-level parallelism,0,1,0,1,1,0
Using eBPF to accelerate the operating system of the future data center,0,0,1,0,0,0
Augmented Reality Whiteboard Coding,0,4,4,2,2,1
Automated Story Illustration,0,1,2,0,2,0
Automated Video Editing,0,1,1,0,1,1
Machine Learning Auto-Marker,0,1,0,2,1,0
Reliable Concurrency Testing Framework,0,2,0,0,1,0
RTFM - Reinforcement Training for Manuals,0,0,1,0,1,1
Social Event Attendance Capture - Person Recognition,0,2,1,1,0,1
Visualising Decisions,0,3,2,1,0,1
Voice Recognition Escape Room,0,1,1,3,0,0
Ensemble Approaches to Improve Data Poisoning Guarantees,0,0,0,2,0,0
Ensemble Approaches to Improve Predictive Privacy Guarantees,0,0,0,1,0,0
LLMs: Curating Data Through Training Dynamics,0,0,2,1,0,0
Provably Fair Data Imputation in Machine Learning,0,0,0,2,0,0
Who does dataset specific private prediction protect?,0,1,2,0,0,0
A Probabilistic Dragon Compiler,0,0,0,0,0,0
Optimisation in Quantum Computation,0,0,0,0,0,0
Probabilistic Couplings,0,0,0,0,0,0
Probabilistic Programming,0,0,0,0,0,0
Program Synthesis and Optimisation Tools,0,0,0,0,0,0
Quantum Automata,0,0,0,1,0,0
RM Compiler,0,0,1,0,0,0
Embedded Domain-Specific Language for Typesetting,0,2,1,1,0,1
Improving the asymptotics of `precedence` and choice in Parsley,0,0,0,0,0,1
Mdoc for Haskell,0,1,0,0,0,0
Oregano: ahead-of-time compilation for regular expressions,0,1,2,0,1,0
Static optimisations of a staged parser-combinator library,0,1,0,0,0,0
